,conditional_mode,Noise level,Average difference
167,direct,0.001,0.024798681344789776
168,direct,0.001,0.013586051386417077
169,direct,0.001,39130142.77080755
170,direct,0.001,171504667661.698
171,direct,0.001,0.03581781775046032
172,direct,0.001,43558744075.474014
173,direct,0.001,284101292809.1206
174,direct,0.001,0.055229788682322825
175,optimized,0.001,0.02361575781809317
176,optimized,0.001,1.3305344433571968
177,optimized,0.001,4221027358.9122553
178,optimized,0.001,2881292769.7389646
179,optimized,0.001,5735265607.547174
180,optimized,0.001,0.6783662487775509
181,optimized,0.001,0.021104839730155135
182,optimized,0.001,0.24486513670528529
183,optimized,0.001,9535923420.343765
184,optimized,0.001,3879142028.176039
185,optimized,0.001,11185667341.511616
186,optimized,0.001,0.7632110420219205
187,optimized,0.001,0.2501741584539351
188,optimized,0.001,1.967886693404195
189,optimized,0.001,1.7755989628755497
190,optimized,0.001,0.030600422561337538
191,optimized,0.001,1.2559214550863138
192,optimized,0.001,0.06292368712925842
193,optimized,0.001,0.013585939370224686
194,optimized,0.001,1.365820293774187
195,optimized,0.001,0.7111930396629849
196,optimized,0.001,4884941208.012815
197,optimized,0.001,0.36918442295045295
198,optimized,0.001,0.2961641853982563
199,optimized,0.001,0.055229828359337596
200,step_optimized,0.001,0.1158570337065165
201,step_optimized,0.001,0.1632040110002803
202,step_optimized,0.001,0.02412684047280156
203,step_optimized,0.001,0.017784650427135028
204,step_optimized,0.001,9.654705122949373e+16
205,step_optimized,0.001,0.1552152508595916
206,step_optimized,0.001,0.022407363986179225
207,step_optimized,0.001,0.04939116670964383
208,step_optimized,0.001,0.018985943589811375
209,step_optimized,0.001,0.02712894064994682
210,step_optimized,0.001,0.06288066692204594
211,step_optimized,0.001,1.0413641680332136e+17
212,step_optimized,0.001,0.08516938612949303
213,step_optimized,0.001,0.44160926426832947
214,step_optimized,0.001,0.02512190265131911
215,step_optimized,0.001,0.03297426760018671
216,step_optimized,0.001,0.1549892829536476
217,step_optimized,0.001,0.03221618934472748
218,step_optimized,0.001,0.014730544546076741
219,step_optimized,0.001,0.019322964938577283
220,step_optimized,0.001,0.05559145536915837
221,step_optimized,0.001,0.04502903818050219
222,step_optimized,0.001,8187452961879246.0
223,step_optimized,0.001,0.09466467818993889
224,step_optimized,0.001,0.03055937714723893
